"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2022-10-03","95.3","2.09","6.07","Harris II, Michael",671739,666200,,"swinging_strike",,,,,14,"Michael Harris II strikes out swinging.","R","L","L","MIA","ATL","S",,,0,1,2022,"1.45","1.16","0.15","1.46",,660670,621020,0,1,"Top",,,,,663743,,,-8.27177854455649,-138.2896084621209,-8.95560514056258,20.443983332487296,30.923774574322152,-15.373581081783849,"3.53","1.59",,,,"94.2",2126,"5.8",661424,666200,663743,650331,542932,621563,500743,668709,650559,541645,"54.68",,,,,,,,3,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",131,"0","-0.111"
"SI","2022-10-03","95.8","2.21","6.11","Harris II, Michael",671739,666200,,"foul",,,,,12,"Michael Harris II strikes out swinging.","R","L","L","MIA","ATL","S",,,0,0,2022,"1.45","1.17","1.55","2.9",,660670,621020,0,1,"Top",,,,,663743,,,-4.928800676744138,-139.34624116127296,-5.3861894834099395,19.922828730716514,33.5932353865888,-15.931413521566377,"3.53","1.59",2,"63.2",-47,"94.3",2154,"5.6",661424,666200,663743,650331,542932,621563,500743,668709,650559,541645,"54.93",,,,,,,,3,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",137,"0","-0.082"
"SL","2022-10-03","78.3","2.97","5.91","Harris II, Michael",671739,542947,"field_out","hit_into_play",,,,,5,"Michael Harris II flies out to left fielder JJ Bleday.","R","L","L","MIA","ATL","X",7,"fly_ball",0,1,2022,"-0.73","0.02","-0.12","2.45",,,,0,9,"Top",93.93,105.51,,,663743,,,-5.350296390902628,-113.92098922849344,-0.578852582134359,-5.219160910616484,23.05955277392473,-32.14128644760364,"3.53","1.59",247,"86.1",47,"78.3",1945,"6.5",661424,542947,663743,650331,542932,621563,500743,668709,650559,541645,"53.98",0.003,0.003,"0",1,0,0,3,64,2,"Slider",4,0,0,4,0,4,0,4,"Standard","Standard",292,"0.008","-0.187"
"SI","2022-10-03","90.8","2.87","6.05","Harris II, Michael",671739,542947,,"called_strike",,,,,5,"Michael Harris II flies out to left fielder JJ Bleday.","R","L","L","MIA","ATL","S",,,0,0,2022,"1.14","0.35","-0.04","2.54",,,,0,9,"Top",,,,,663743,,,-9.79496159009208,-131.8169613626969,-3.612876905143515,15.334452107658954,28.05920475304009,-27.494025922015,"3.46","1.58",,,,"91.4",2034,"6.8",661424,542947,663743,650331,542932,621563,500743,668709,650559,541645,"53.74",,,,,,,,64,1,"Sinker",4,0,0,4,0,4,0,4,"Standard","Standard",128,"0","-0.034"
"CU","2022-10-02","72.4","-0.89","6.13","Harris II, Michael",671739,605135,"strikeout","swinging_strike",,,,,5,"Michael Harris II strikes out swinging.","R","L","R","ATL","NYM","S",2,,2,2,2022,"1.31","-1","0.15","2.25",606115,660670,,1,3,"Bot",,,,,543510,,,-0.17385814460208932,-105.22138193657212,1.557544679828144,9.592468559065162,21.58444532422767,-40.04615635139068,"3.54","1.6",,,,"71.5",2388,"6.1",661465,605135,543510,624413,641645,500871,596019,592192,607043,643446,"54.36",,,"0",1,0,0,,30,6,"Curveball",1,3,1,3,3,1,1,3,"Standard","Standard",34,"-0.091","-0.547"
"FC","2022-10-02","90.2","-1.23","5.78","Harris II, Michael",671739,605135,,"foul",,,,,12,"Michael Harris II strikes out swinging.","R","L","R","ATL","NYM","S",,,2,2,2022,"0.29","0.47","0.09","3.92",606115,660670,,1,3,"Bot",,,,,543510,,,2.6436886063007683,-131.47899308114376,0.24730846801539252,2.931659778343817,24.946541806053013,-26.91838091031401,"3.54","1.6",336,"97.3",26,"90.6",2175,"6.2",661465,605135,543510,624413,641645,500871,596019,592192,607043,643446,"54.31",,,,,,,,30,5,"Cutter",1,3,1,3,3,1,1,3,"Standard","Standard",185,"0","0"
"FC","2022-10-02","88.5","-1.15","5.84","Harris II, Michael",671739,605135,,"foul",,,,,12,"Michael Harris II strikes out swinging.","R","L","R","ATL","NYM","S",,,2,1,2022,"0.31","0.68","1.08","3.68",606115,660670,,1,3,"Bot",,,,,543510,,,4.800242091862275,-128.96024573821578,-0.6663835828103648,2.5557053590038183,25.5609919937607,-24.590745170733186,"3.54","1.6",119,"55.5",61,"88.6",2334,"6.2",661465,605135,543510,624413,641645,500871,596019,592192,607043,643446,"54.3",,,,,,,,30,4,"Cutter",1,3,1,3,3,1,1,3,"Standard","Standard",193,"0","-0.251"
"CU","2022-10-02","70.7","-0.96","6.07","Harris II, Michael",671739,605135,,"called_strike",,,,,1,"Michael Harris II strikes out swinging.","R","L","R","ATL","NYM","S",,,2,0,2022,"1.09","-0.99","-0.38","3.38",606115,660670,,1,3,"Bot",,,,,543510,,,-0.6832744062664893,-102.63596022417616,4.222498528253986,7.720566955000252,20.633191147405768,-40.191551021869174,"3.42","1.51",,,,"70",2323,"6.4",661465,605135,543510,624413,641645,500871,596019,592192,607043,643446,"54.13",,,,,,,,30,3,"Curveball",1,3,1,3,3,1,1,3,"Standard","Standard",43,"0","-0.046"
"FC","2022-10-02","88.6","-1.03","5.86","Harris II, Michael",671739,605135,,"ball",,,,,14,"Michael Harris II strikes out swinging.","R","L","R","ATL","NYM","B",,,1,0,2022,"0.2","0.6","2.14","2.29",606115,660670,,1,3,"Bot",,,,,543510,,,7.313745165165424,-128.85082774825239,-3.9245540412999995,0.7899698234382401,25.34927425540428,-24.925628769737667,"3.53","1.56",,,,"88.7",2306,"6.2",661465,605135,543510,624413,641645,500871,596019,592192,607043,643446,"54.26",,,,,,,,30,2,"Cutter",1,3,1,3,3,1,1,3,"Standard","Standard",192,"0","0.045"
"CU","2022-10-02","72.7","-0.83","6.11","Harris II, Michael",671739,605135,,"blocked_ball",,,,,14,"Michael Harris II strikes out swinging.","R","L","R","ATL","NYM","B",,,0,0,2022,"1.21","-1.2","1.32","1.03",606115,660670,,1,3,"Bot",,,,,543510,,,2.2245330712322295,-105.76356540242224,-0.6282983574618576,8.57944388937143,20.686274979248406,-41.19330149790913,"3.37","1.56",,,,"72.2",2427,"6.3",661465,605135,543510,624413,641645,500871,596019,592192,607043,643446,"54.24",,,,,,,,30,1,"Curveball",1,3,1,3,3,1,1,3,"Standard","Standard",38,"0","0.039"
